poverty_3,poverty_4_20,poverty_8_30,poverty_10
3521418059.92345,3521418059.92345,,
3521418059.92345,3521418059.92345,,
3521418059.92345,3521418059.92345,,
3521418059.92345,3521418059.92345,,
3521418059.92345,3521418059.92345,,
2813571753.87253,2813571753.87253,,
3825701438.99963,3825701438.99963,,
4520946818.54581,4520946818.54581,,
5224896718.67782,5224896718.67782,,
6203256538.70967,6203256538.70967,,
6971758282.29351,6971758282.29351,,
9747886187.39393,9747886187.39393,,
10109297047.5432,10109297047.5432,,
12416152732.0567,12416152732.0567,,
15856668555.8336,15856668555.8336,,
17805098206.3141,17805098206.3141,,
19907329777.5872,19907329777.5872,,
20146416757.5987,20146416757.5987,,
20497128555.6972,20497128555.6972,,
19134221644.7325,19134221644.7325,,
3234486232.04392,3234486232.04392,58.611904,71.59013
2293666029.99318,2293666029.99318,,
2600356999.20614,2600356999.20614,,
3283941510.49964,3283941510.49964,,
3584570164.85195,3584570164.85195,,
4059064033.13379,4059064033.13379,,
4515003116.68036,4515003116.68036,60.983803,73.179245
5801712040.48463,5801712040.48463,,
7406645793.44038,7406645793.44038,,
8256658249.8128,8256658249.8128,49.992928,64.41114
9150528132.17633,9150528132.17633,,
11116937869.8568,11116937869.8568,,
13258506375.4518,13258506375.4518,43.44341,58.716167
12335540656.1006,12335540656.1006,,
12086545641.299,12086545641.299,,
12973755874.5365,12973755874.5365,,
12246499747.9714,12246499747.9714,45.900337,60.390068
12796985886.1478,12796985886.1478,,
13296322588.1684,13296322588.1684,46.492706,57.364906
11470171826.9575,11470171826.9575,32.770725,45.408344
46941554225.3581,46941554225.3581,,
48177612042.1507,48177612042.1507,,
48187781984.4881,48187781984.4881,,
48640671734.9711,48640671734.9711,,
54790398570.3282,54790398570.3282,,
59413400923.6364,59413400923.6364,,
61516103406.1688,61516103406.1688,,
73482264190.9245,73482264190.9245,,
91913680985.1708,91913680985.1708,,
107046618669.707,107046618669.707,,
123084258693.01,123084258693.01,,
142482739809.849,142482739809.849,,
180383848331.135,180383848331.135,,
150317292079.359,150317292079.359,,
177785053939.531,177785053939.531,,
218331946925.304,218331946925.304,41.833,58.175
227143746075.934,227143746075.934,,
229701430292.157,229701430292.157,,
238942664192.59,238942664192.59,,
187493855609.345,187493855609.345,,
7526421519.16979,7526421519.16979,,
7648380195.59902,7648380195.59902,,
6506221615.78722,6506221615.78722,,
6152923310.44546,6152923310.44546,,
9129594970.15301,9129594970.15301,69.713715,76.91398
8936079117.73136,8936079117.73136,,
17311512432.451,17311512432.451,,
20342128111.9753,20342128111.9753,,
26997977896.5924,26997977896.5924,,
41396636383.3725,41396636383.3725,,
58653659979.711,58653659979.711,,
73037821926.6813,73037821926.6813,,
98790432989.4067,98790432989.4067,71.71872,78.41079
81705175408.3893,81705175408.3893,,
95546919754.7633,95546919754.7633,,
125551634704.473,125551634704.473,,
143572907527.976,143572907527.976,,
148845200696.792,148845200696.792,,
153449860496.402,153449860496.402,,
102543067840.732,102543067840.732,,
679140740.740741,679140740.740741,,
734422222.222222,734422222.222222,,
789788888.888889,789788888.888889,,
835544444.444444,835544444.444444,,
901003703.703704,901003703.703704,,
877774074.074074,877774074.074074,,
898092592.592592,898092592.592592,,
948100000.0,948100000.0,,
1026329629.62963,1026329629.62963,,
1143896296.2963,1143896296.2963,,
1303674074.07407,1303674074.07407,,
1487381481.48148,1487381481.48148,,
1557640740.74074,1557640740.74074,,
1386518518.51852,1386518518.51852,,
1298348148.14815,1298348148.14815,,
1287359259.25926,1287359259.25926,,
1364729629.62963,1364729629.62963,,
1325496296.2963,1325496296.2963,,
1378707407.40741,1378707407.40741,,
1437485185.18519,1437485185.18519,,
272149750000.0,272149750000.0,,
292859000000.0,292859000000.0,,
298948250000.0,298948250000.0,,
283523000000.0,283523000000.0,,
284203750000.0,284203750000.0,,
268696750000.0,268696750000.0,,
97724004251.8602,97724004251.8602,,
127586973492.177,127586973492.177,,
164657930452.787,164657930452.787,,
198737095012.282,198737095012.282,,
232557260817.308,232557260817.308,,
287530508430.568,287530508430.568,,
361558037110.419,361558037110.419,,
332976484577.619,332976484577.619,,
423627422092.49,423627422092.49,,
530158122010.442,530158122010.442,,
545982375701.128,545982375701.128,,
552025140252.246,552025140252.246,,
526319673731.638,526319673731.638,,
594749285413.212,594749285413.212,,
1596968946.23708,1596968946.23708,,
1639492444.76152,1639492444.76152,,
1893726437.26462,1893726437.26462,,
1845482173.02732,1845482173.02732,84.3697,90.02356
1911563668.85006,1911563668.85006,,
2118467913.37873,2118467913.37873,85.45796,90.22484
2376335048.39976,2376335048.39976,84.6483,89.81423
2807061008.69084,2807061008.69084,84.90016,90.702995
3576615240.41616,3576615240.41616,76.15055,84.13428
4900469511.10191,4900469511.10191,70.736725,80.39993
6384452066.5146,6384452066.5146,66.79738,78.780975
9206301269.79164,9206301269.79164,59.69538,72.34252
11662040713.8753,11662040713.8753,56.25708,69.40972
8647937081.2562,8647937081.2562,64.97839,77.23337
9260285755.62424,9260285755.62424,65.97366,77.88961
10142111824.5835,10142111824.5835,63.031586,75.04874
10619320682.9474,10619320682.9474,59.61346,73.86593
11121464437.0415,11121464437.0415,57.419724,70.681885
11609513246.7958,11609513246.7958,55.164864,69.9508
10553337518.414,10553337518.414,50.665253,65.09447
401962517479.122,401962517479.122,,
436321902767.408,436321902767.408,,
400361527504.578,400361527504.578,,
390347787943.351,390347787943.351,,
416901962163.479,416901962163.479,,
380360222861.197,380360222861.197,1.7207506,2.2471638
396436967262.563,396436967262.563,,
468517181129.878,468517181129.878,1.9865218,2.2426739
615643050220.515,615643050220.515,1.2478644,1.4955149
696811489612.816,696811489612.816,,
749708370332.989,749708370332.989,,
856603595823.192,856603595823.192,,
1058448244063.77,1058448244063.77,1.006538,1.006538
931761689770.843,931761689770.843,,
1152566632022.13,1152566632022.13,1.0081148,1.3466283
1402939868653.4,1402939868653.4,,
1552728401401.58,1552728401401.58,,
1583737461925.39,1583737461925.39,,
1474677007565.64,1474677007565.64,0.9969854,1.2482182
1356805839935.9,1356805839935.9,,
235952581232.129,235952581232.129,0.49273017,0.73641074
211724812267.448,211724812267.448,0.727836,0.97075284
217068085815.918,217068085815.918,0.99647987,1.1794505
216421809125.916,216421809125.916,0.49730566,0.72705334
196181599831.287,196181599831.287,0.6452591,0.9819276
196477206829.33,196477206829.33,,
212837224022.813,212837224022.813,,
260779834340.097,260779834340.097,0.66720575,0.76977146
299210411454.823,299210411454.823,0.4237352,0.6258114
313952317330.776,313952317330.776,0.50501704,0.7138625
333905979332.481,333905979332.481,0.4761546,0.59181297
386760177589.497,386760177589.497,0.7879844,0.87878203
429234399096.173,429234399096.173,0.9927885,1.1347096
399290118782.429,399290118782.429,1.0217298,1.2327557
389827789217.634,389827789217.634,0.8244112,1.0164803
428954737064.057,428954737064.057,1.03259,1.3658074
406750487603.59,406750487603.59,1.0696512,1.4364983
426580502769.417,426580502769.417,0.68428856,0.8245812
438556021078.034,438556021078.034,0.73899555,0.83789027
379546097300.633,379546097300.633,1.1601166,1.5891649
3176507376.31836,3176507376.31836,,
3962362387.47922,3962362387.47922,,
4446368570.6901,4446368570.6901,,
4581248566.50158,4581248566.50158,,
5272615722.96892,5272615722.96892,,
5707616203.72011,5707616203.72011,73.07174,81.54906
6236087738.28284,6236087738.28284,53.718533,71.31494
7276413079.11451,7276413079.11451,48.823284,66.22514
8680405740.94125,8680405740.94125,47.680466,66.46874
13245421880.834,13245421880.834,35.932808,57.095306
20981929497.6188,20981929497.6188,,
33049419431.2244,33049419431.2244,,
48851293785.4483,48851293785.4483,,
44292427184.9492,44292427184.9492,,
52909294791.9262,52909294791.9262,,
65952796427.9473,65952796427.9473,,
69679944504.1972,69679944504.1972,,
74160560123.6902,74160560123.6902,,
75239785452.1022,75239785452.1022,,
53076235354.746,53076235354.746,,
6938166755.31915,6938166755.31915,,
7219407712.76596,7219407712.76596,,
7031309042.55319,7031309042.55319,,
7528469148.93617,7528469148.93617,,
9062898936.17021,9062898936.17021,,
8976196808.51064,8976196808.51064,,
9593510638.29787,9593510638.29787,,
11074813829.7872,11074813829.7872,,
13150159574.4681,13150159574.4681,,
15968723404.2553,15968723404.2553,,
18504760638.2979,18504760638.2979,,
21730000000.0,21730000000.0,,
25710904255.3191,25710904255.3191,,
22938218085.1064,22938218085.1064,,
26805984042.5532,26805984042.5532,,
29914680851.0638,29914680851.0638,,
31963404255.3191,31963404255.3191,,
33823324468.0851,33823324468.0851,,
34772526595.7447,34772526595.7447,,
32523297872.3404,32523297872.3404,,
46438484107.5795,46438484107.5795,,
48244309133.4895,48244309133.4895,,
49984559471.3656,49984559471.3656,,
51270569883.5275,51270569883.5275,,
53369787318.6245,53369787318.6245,92.31793,95.291214
53991289844.3291,53991289844.3291,,
54724081490.5102,54724081490.5102,,
60158929188.2556,60158929188.2556,,
65108544250.0425,65108544250.0425,,
69476001239.419,69476001239.419,90.02344,93.83099
71795736172.1561,71795736172.1561,,
79611644974.5571,79611644974.5571,,
91636997370.9772,91636997370.9772,,
102475158190.998,102475158190.998,,
115275540051.262,115275540051.262,88.58481,92.74079
128607482310.357,128607482310.357,,
133310747603.483,133310747603.483,,
149998957434.186,149998957434.186,,
172886611653.786,172886611653.786,,
195146608978.131,195146608978.131,,
2363645403.47039,2363645403.47039,,
2498384129.66738,2498384129.66738,,
