country_name,country_code,scenario,year,gdp_per_capita,population,hdi,control_of_corruption,employment_agriculture,gini_coefficient,employment_agriculture_extrap,hdi_extrap,coc_extrap
Afghanistan,AFG,SSP1,2025,,43.793695,,,47.48,33.139,False,False,False
Afghanistan,AFG,SSP1,2030,,49.23856,,,45.09,32.813,False,False,False
Afghanistan,AFG,SSP1,2035,,54.439767,,,41.0,31.837,False,False,False
Afghanistan,AFG,SSP1,2040,,59.275958,,,36.16,30.44,False,False,False
Afghanistan,AFG,SSP1,2045,,63.892211,,,30.96,29.079,False,False,False
Afghanistan,AFG,SSP1,2050,,68.11567500000001,,,25.82,27.875,False,False,False
Afghanistan,AFG,SSP1,2055,,71.776,,,20.64,26.806,True,False,False
Afghanistan,AFG,SSP1,2060,,74.77905100000001,,,15.47,25.912,True,False,False
Afghanistan,AFG,SSP1,2065,,77.2072450000001,,,10.3,25.196,True,False,False
Afghanistan,AFG,SSP1,2070,,79.017442,,,5.13,24.622,True,False,False
Afghanistan,AFG,SSP1,2075,,80.21610000000001,,,0.0,24.161,True,False,False
Afghanistan,AFG,SSP1,2080,,80.726987,,,0.0,23.792,True,True,False
Afghanistan,AFG,SSP1,2085,,80.546983,,,0.0,23.496,True,True,False
Afghanistan,AFG,SSP1,2090,,79.80978999999999,,,0.0,23.259,True,True,False
Afghanistan,AFG,SSP1,2095,,78.60711499999991,,,0.0,23.069,True,True,False
Afghanistan,AFG,SSP1,2100,,76.984947,,,0.0,22.916,True,True,True
Afghanistan,AFG,SSP4,2025,,44.443313,,,47.48,35.025,False,False,False
Afghanistan,AFG,SSP4,2030,,51.316728,,,46.73999999999999,34.964,False,False,False
Afghanistan,AFG,SSP4,2035,,58.7579979999999,,,45.79,34.808,False,False,False
Afghanistan,AFG,SSP4,2040,,66.639335,,,44.68,34.614,False,False,False
Afghanistan,AFG,SSP4,2045,,74.6028949999999,,,43.46,34.389,False,False,False
Afghanistan,AFG,SSP4,2050,,82.6541670000001,,,42.17,34.142,False,False,False
Afghanistan,AFG,SSP4,2055,,90.73773299999999,,,40.926667,33.872,True,False,False
Afghanistan,AFG,SSP4,2060,,98.795444,,,39.671667,33.233,True,False,False
Afghanistan,AFG,SSP4,2065,,106.643779,,,38.416667,32.249,True,False,False
Afghanistan,AFG,SSP4,2070,,113.990897,,,37.161667,31.159,True,False,False
Afghanistan,AFG,SSP4,2075,,120.77488,,,35.906667,29.638,True,False,False
Afghanistan,AFG,SSP4,2080,,126.775627,,,34.651667,28.269,True,True,False
Afghanistan,AFG,SSP4,2085,,131.977341,,,33.396667,27.151,True,True,False
Afghanistan,AFG,SSP4,2090,,136.760905,,,32.141667,26.245,True,True,False
Afghanistan,AFG,SSP4,2095,,141.227943,,,30.886667,25.511,True,True,False
Afghanistan,AFG,SSP4,2100,,145.293497,,,29.631667,24.916,True,True,True
Afghanistan,AFG,SSP5,2025,,43.83911200000011,,,47.48,33.073,False,False,False
Afghanistan,AFG,SSP5,2030,,49.26686400000001,,,44.56,32.42,False,False,False
Afghanistan,AFG,SSP5,2035,,54.384345,,,39.43,30.883,False,False,False
Afghanistan,AFG,SSP5,2040,,59.077688,,,33.55,29.481,False,False,False
Afghanistan,AFG,SSP5,2045,,63.49645,,,27.52,28.208,False,False,False
Afghanistan,AFG,SSP5,2050,,67.471417,,,21.86,27.141,False,False,False
Afghanistan,AFG,SSP5,2055,,70.837697,,,15.953333,26.266,True,False,False
Afghanistan,AFG,SSP5,2060,,73.5089459999999,,,10.108333,25.549,True,False,False
Afghanistan,AFG,SSP5,2065,,75.59661,,,4.263333,24.962,True,False,False
Afghanistan,AFG,SSP5,2070,,77.0757540000001,,,0.0,24.481,True,False,False
Afghanistan,AFG,SSP5,2075,,77.968233,,,0.0,24.087,True,False,False
Afghanistan,AFG,SSP5,2080,,78.21206900000011,,,0.0,23.765,True,True,False
Afghanistan,AFG,SSP5,2085,,77.813848,,,0.0,23.5,True,True,False
Afghanistan,AFG,SSP5,2090,,76.907414,,,0.0,23.283,True,True,False
Afghanistan,AFG,SSP5,2095,,75.58431800000011,,,0.0,23.106,True,True,False
Afghanistan,AFG,SSP5,2100,,73.89136500000001,,,0.0,22.96,True,True,True
Albania,ALB,SSP1,2025,17485.5,2.792432,,,33.71,29.556,False,False,False
Albania,ALB,SSP1,2030,21389.9,2.714577,,,30.22,29.621,False,False,False
Albania,ALB,SSP1,2035,26155.1,2.615949999999999,,,26.81,29.576,False,False,False
Albania,ALB,SSP1,2040,31642.9,2.505335,,,23.89,29.463,False,False,False
Albania,ALB,SSP1,2045,37362.3,2.390556,,,21.31,29.285,False,False,False
Albania,ALB,SSP1,2050,42719.7,2.274377,,,19.16,29.05,False,False,False
Albania,ALB,SSP1,2055,47851.9,2.157842,,,16.723333,28.818,True,False,False
Albania,ALB,SSP1,2060,53046.7,2.041092,,,14.358333,28.54,True,False,False
Albania,ALB,SSP1,2065,58470.7,1.933387999999999,,,11.993333,28.23,True,False,False
Albania,ALB,SSP1,2070,64152.0,1.835433,,,9.628333,27.889,True,False,False
Albania,ALB,SSP1,2075,69647.4,1.746858,,,7.263333,27.527,True,False,False
Albania,ALB,SSP1,2080,74940.2,1.664928,,,4.898333,27.151,True,True,False
Albania,ALB,SSP1,2085,80116.1,1.585972,,,2.533333,26.765,True,True,False
Albania,ALB,SSP1,2090,85341.0,1.507258,,,0.168333,26.36,True,True,False
Albania,ALB,SSP1,2095,90651.4,1.428346,,,0.0,25.946,True,True,False
Albania,ALB,SSP1,2100,96038.0,1.351713999999999,,,0.0,25.526,True,True,True
Albania,ALB,SSP4,2025,17527.2,2.785784999999999,,,33.71,30.306,False,False,False
Albania,ALB,SSP4,2030,21493.1,2.696919,,,31.04,30.748,False,False,False
Albania,ALB,SSP4,2035,25986.4,2.582879,,,28.82,31.201,False,False,False
Albania,ALB,SSP4,2040,30860.6,2.453504,,,26.79,31.667,False,False,False
Albania,ALB,SSP4,2045,35859.2,2.319536,,,24.84,32.143,False,False,False
Albania,ALB,SSP4,2050,40652.5,2.185187,,,23.05,32.632,False,False,False
Albania,ALB,SSP4,2055,45322.4,2.053134,,,21.153333,33.098,True,False,False
Albania,ALB,SSP4,2060,50068.4,1.925584999999999,,,19.283333,33.549,True,False,False
Albania,ALB,SSP4,2065,55000.0,1.810411,,,17.413333,33.997,True,False,False
