"model","scenario","region","unit","variable","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Income Inequality Model (2019)","SSP1","Afghanistan","","Gini Income Inequality Coefficient",33.379,33.271,33.139,32.813,31.837,30.44,29.079,27.875,26.806,25.912,25.196,24.622,24.161,23.792,23.496,23.259,23.069,22.916
"Income Inequality Model (2019)","SSP1","Albania","","Gini Income Inequality Coefficient",29.235,29.42,29.556,29.621,29.576,29.463,29.285,29.05,28.818,28.54,28.23,27.889,27.527,27.151,26.765,26.36,25.946,25.526
"Income Inequality Model (2019)","SSP1","Algeria","","Gini Income Inequality Coefficient",40.876,40.448,39.924,39.233,38.534,37.786,36.858,35.598,34.35,33.147,32.136,31.322,30.66,30.125,29.697,29.354,29.072,28.845
"Income Inequality Model (2019)","SSP1","Angola","","Gini Income Inequality Coefficient",48.506,48.239,47.897,47.393,46.327,44.904,43.632,42.931,41.683,40.425,39.305,38.348,37.558,36.888,36.309,35.803,35.367,34.975
"Income Inequality Model (2019)","SSP1","Argentina","","Gini Income Inequality Coefficient",43.11,42.623,42.026,41.268,40.62,39.992,39.144,37.873,36.593,35.333,34.267,33.409,32.709,32.145,31.692,31.329,31.03,30.79
"Income Inequality Model (2019)","SSP1","Armenia","","Gini Income Inequality Coefficient",31.135,31.29,31.415,31.493,31.531,31.452,31.289,31.051,30.849,30.623,30.339,30.02,29.683,29.336,28.98,28.635,28.31,27.994
"Income Inequality Model (2019)","SSP1","Aruba","","Gini Income Inequality Coefficient",48.916,48.538,47.98,47.145,46.048,44.728,43.282,41.747,40.372,39.099,37.951,36.918,35.974,35.101,34.28,33.502,32.752,32.02
"Income Inequality Model (2019)","SSP1","Australia","","Gini Income Inequality Coefficient",34.694,34.772,34.821,34.836,34.907,34.805,34.591,34.263,34.084,33.932,33.715,33.476,33.222,32.959,32.692,32.48,32.297,32.116
"Income Inequality Model (2019)","SSP1","Austria","","Gini Income Inequality Coefficient",26.823,27.286,27.477,27.516,27.395,27.104,26.648,26.042,25.595,25.098,24.551,23.951,23.308,22.642,21.953,21.251,20.551,19.856
"Income Inequality Model (2019)","SSP1","Azerbaijan","","Gini Income Inequality Coefficient",16.767,16.896,16.957,16.941,16.851,16.681,16.437,16.116,15.858,15.579,15.278,14.955,14.611,14.252,13.879,13.507,13.102,12.673
"Income Inequality Model (2019)","SSP1","Bahamas","","Gini Income Inequality Coefficient",42.552,42.187,41.74,41.121,40.368,39.492,38.479,37.23,36.017,34.875,33.922,33.155,32.533,32.031,31.629,31.306,31.042,30.83
"Income Inequality Model (2019)","SSP1","Bahrain","","Gini Income Inequality Coefficient",41.088,40.804,40.451,39.928,39.123,38.115,37.041,35.908,34.752,33.672,32.762,32.018,31.405,30.902,30.486,30.142,29.851,29.605
"Income Inequality Model (2019)","SSP1","Bangladesh","","Gini Income Inequality Coefficient",37.559,37.451,37.319,36.993,36.017,34.62,33.259,32.055,30.986,30.092,29.376,28.802,28.341,27.972,27.676,27.439,27.249,27.096
"Income Inequality Model (2019)","SSP1","Barbados","","Gini Income Inequality Coefficient",46.631,46.162,45.594,44.874,44.039,43.106,42.105,41.1,39.699,38.27,37.039,36.036,35.23,34.582,34.059,33.638,33.3,33.027
"Income Inequality Model (2019)","SSP1","Belarus","","Gini Income Inequality Coefficient",37.474,38.221,39.081,39.79,40.225,40.254,39.86,39.082,39.209,39.233,39.144,38.965,38.733,38.477,38.208,37.956,37.691,37.441
"Income Inequality Model (2019)","SSP1","Belgium","","Gini Income Inequality Coefficient",27.332,27.364,27.315,27.16,26.895,26.521,26.045,25.475,24.967,24.434,23.878,23.298,22.704,22.105,21.503,20.905,20.298,19.677
"Income Inequality Model (2019)","SSP1","Belize","","Gini Income Inequality Coefficient",53.095,52.901,52.563,52.027,51.442,50.76,49.931,48.974,48.45,47.985,47.472,46.916,46.323,45.695,45.034,44.348,43.633,42.89
"Income Inequality Model (2019)","SSP1","Benin","","Gini Income Inequality Coefficient",49.244,49.004,48.663,48.148,47.259,46.11,45,44.205,43.224,42.258,41.362,40.553,39.836,39.181,38.572,38,37.461,36.939
"Income Inequality Model (2019)","SSP1","Bhutan","","Gini Income Inequality Coefficient",44.117,43.581,42.928,42.124,41.433,40.771,39.925,38.776,37.404,36.004,34.804,33.832,33.043,32.408,31.897,31.487,31.152,30.882
"Income Inequality Model (2019)","SSP1","Bolivia","","Gini Income Inequality Coefficient",53.912,52.665,50.703,47.777,43.904,39.283,35.003,31.477,28.573,26.18,24.209,22.586,21.249,20.147,19.24,18.493,17.877,17.37
"Income Inequality Model (2019)","SSP1","Bosnia and Herzegovina","","Gini Income Inequality Coefficient",32.817,32.908,32.971,32.995,33.064,32.966,32.757,32.437,32.271,32.13,31.93,31.71,31.475,31.233,30.987,30.795,30.63,30.468
