"model","scenario","region","unit","variable","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"Governance Model (2020)","SSP1","Algeria","","Governance Index|Control of Corruption",0.317432178,0.325091982,0.332603856,0.339972329,0.347201792,0.354296495,0.3617981,0.369157514,0.376379502,0.383468638,0.390429317,0.397592411,0.404612506,0.411495324,0.418246251,0.42487037,0.43139394,0.437780185,0.444035251,0.450164854,0.456174324,0.462012308,0.467724176,0.473315827,0.478792719,0.484159928,0.489463179,0.494657006,0.499746379,0.504735918,0.509629932,0.514155387,0.51858986,0.522937182,0.527200947,0.531384531,0.535716578,0.539975084,0.544162854,0.548282548,0.552336687,0.556187386,0.559979087,0.563713842,0.567393609,0.571020265,0.574537648,0.578007641,0.581431773,0.584811512,0.588148272,0.591196212,0.594205469,0.597177232,0.600112644,0.603012815,0.605646122,0.608247288,0.610817269,0.613356993,0.615867355,0.617999097,0.62010362,0.622181721,0.624234171,0.626261719,0.628417226,0.63054887,0.632657345,0.634743321,0.636807448,0.638595399,0.640360841,0.642104434,0.643826815,0.645528601,0.647219157,0.648887343,0.650533841,0.652159304,0.653764365,0.655798826,0.657810464,0.659800014,0.661768179
"Governance Model (2020)","SSP1","Argentina","","Governance Index|Control of Corruption",0.364739866,0.373749315,0.382506886,0.391022761,0.399306489,0.407367052,0.415213817,0.422861976,0.430318424,0.437589755,0.444682277,0.451440732,0.458035242,0.464471159,0.470753636,0.476887633,0.482753381,0.488476894,0.494062818,0.499515621,0.504839607,0.510018756,0.5150739,0.5200091,0.524828264,0.529535156,0.534161089,0.538680735,0.543097525,0.547414766,0.551635643,0.555641106,0.559557114,0.563386479,0.567131914,0.57079604,0.574290764,0.577708896,0.581052814,0.584324816,0.587527123,0.590466597,0.593339353,0.596147458,0.598892908,0.601577635,0.604485901,0.607335582,0.610128497,0.612866398,0.615550982,0.61833155,0.621060465,0.623739329,0.626369691,0.628953047,0.63120178,0.633404976,0.635564047,0.637680357,0.639755222,0.642065828,0.644336187,0.646567546,0.648761108,0.650918034,0.652755458,0.65455694,0.656323596,0.658056501,0.659756693,0.661453585,0.663118863,0.6647535,0.666358434,0.66793457,0.669509562,0.671056677,0.672576767,0.67407065,0.675539118,0.677011791,0.678459714,0.679883636,0.681284278
"Governance Model (2020)","SSP1","Armenia","","Governance Index|Control of Corruption",0.317658984,0.329696825,0.341162015,0.352121001,0.36262607,0.372719392,0.383417322,0.393664154,0.403504771,0.412975768,0.422107558,0.430104071,0.437839641,0.445328826,0.452584707,0.459619133,0.466157099,0.472528839,0.478740105,0.484796401,0.490702997,0.49598668,0.501145053,0.50618194,0.51110104,0.515905941,0.520094493,0.524179554,0.528164254,0.532051628,0.535844618,0.539627213,0.543321332,0.546929649,0.550454755,0.553899164,0.557669072,0.561361837,0.564979782,0.568525157,0.572000146,0.575172466,0.578276511,0.581314333,0.584287922,0.587199205,0.590138015,0.593016055,0.595835158,0.598597099,0.601303597,0.604041532,0.606724993,0.609355636,0.611935063,0.614464825,0.617023293,0.619532804,0.621994858,0.624410908,0.626782357,0.629089416,0.631352161,0.633571967,0.635750165,0.637888036,0.640154533,0.64238092,0.64456846,0.646718366,0.648831811,0.650865111,0.652862426,0.654824891,0.6567536,0.658649606,0.660132335,0.661582751,0.663001872,0.664390683,0.665750128,0.667527064,0.669275957,0.670997675,0.672693055
"Governance Model (2020)","SSP1","Australia","","Governance Index|Control of Corruption",0.900894118,0.903431497,0.905945736,0.908437935,0.91090912,0.913360246,0.915569162,0.917754736,0.919918084,0.922060245,0.924182185,0.926284854,0.92837062,0.930440173,0.932494165,0.934533207,0.936501268,0.938457539,0.940402425,0.942336311,0.944259562,0.945677044,0.947086518,0.948488212,0.949882342,0.951269119,0.952930469,0.954586153,0.956236306,0.95788106,0.959520541,0.960586644,0.961648557,0.962706367,0.963760158,0.964810012,0.966176765,0.967539967,0.968899686,0.970255987,0.971608934,0.972627145,0.973642105,0.97465387,0.975662501,0.976668053,0.977691591,0.978711779,0.979728677,0.980742347,0.981752848,0.982770598,0.983785104,0.984796425,0.985804619,0.986809741,0.987810483,0.988808285,0.989803198,0.990795272,0.991784556,0.992453965,0.993120413,0.99378395,0.994444626,0.995102492,0.9960039,0.996902384,0.997797994,0.998690779,0.999580788,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Governance Model (2020)","SSP1","Austria","","Governance Index|Control of Corruption",0.854570217,0.856378349,0.858185822,0.859992643,0.861798817,0.863604348,0.865675487,0.867745706,0.869815016,0.871883424,0.873950941,0.876115433,0.878277867,0.880438272,0.882596678,0.884753113,0.886570883,0.888385179,0.890196065,0.892003605,0.893807862,0.895922809,0.898032985,0.900138495,0.902239441,0.904335922,0.906285064,0.908228721,0.910167023,0.912100094,0.914028055,0.915990002,0.917946156,0.919896657,0.92184164,0.923781237,0.925551461,0.927315764,0.929074292,0.930827183,0.932574574,0.934017031,0.935453446,0.93688397,0.938308746,0.939727914,0.941518347,0.94330235,0.945080088,0.946851718,0.948617393,0.950079277,0.951534626,0.952983609,0.954426387,0.955863116,0.957540092,0.959211019,0.960876045,0.962535316,0.96418897,0.965418224,0.966641836,0.967859942,0.969072671,0.97028015,0.971424636,0.972563146,0.973695828,0.974822822,0.975944266,0.977104881,0.978259114,0.979407127,0.980549077,0.981685112,0.982839259,0.983987189,0.985129056,0.986265012,0.987395202,0.988211748,0.989022202,0.989826715,0.990625433
"Governance Model (2020)","SSP1","Azerbaijan","","Governance Index|Control of Corruption",0.222566165,0.23702054,0.250926319,0.264329172,0.277267061,0.28977213,0.300177879,0.310308915,0.320173958,0.329781426,0.339139451,0.348183713,0.357008837,0.365621505,0.374028195,0.382235186,0.389636244,0.396850814,0.403884598,0.410743125,0.417431751,0.424011455,0.430429801,0.436691699,0.442801908,0.448765042,0.454628984,0.460352102,0.465938668,0.471392824,0.476718586,0.481897936,0.486953888,0.491890191,0.496710479,0.501418273,0.506219966,0.510915734,0.515508785,0.520002232,0.524399088,0.52861999,0.532749667,0.536790877,0.540746291,0.544618501,0.54875367,0.552812389,0.55679696,0.560709614,0.564552515,0.567824108,0.571031226,0.574175813,0.577259753,0.580284874,0.58329538,0.586251229,0.589154074,0.592005519,0.594807115,0.597345009,0.599836203,0.60228211,0.604684099,0.607043498,0.609514651,0.611945173,0.614336282,0.616689162,0.619004958,0.621284346,0.62352745,0.625735345,0.627909072,0.63004964,0.63183903,0.633595074,0.635318752,0.637011013,0.63867278,0.640726866,0.642750171,0.644743601,0.646708036
"Governance Model (2020)","SSP1","Bahamas","","Governance Index|Control of Corruption",0.754997006,0.756822811,0.758640187,0.760449379,0.762250623,0.764044144,0.765762532,0.767466086,0.769155375,0.770830937,0.77249328,0.774508287,0.776505942,0.778486963,0.780452027,0.782401767,0.783930404,0.785443928,0.786942925,0.788427947,0.789899515,0.791503533,0.793094708,0.7946735,0.796240344,0.797795653,0.798921026,0.800035217,0.801138602,0.802231536,0.803314357,0.804620388,0.805916973,0.807204401,0.808482951,0.809752888,0.810685186,0.811609272,0.812525382,0.813433741,0.814334568,0.815137935,0.81593395,0.816722813,0.817504717,0.818279845,0.819402256,0.820517682,0.821626309,0.822728315,0.823823873,0.824700141,0.825569742,0.826432848,0.827289627,0.828140239,0.829002559,0.829858571,0.830708435,0.831552305,0.832390329,0.833581876,0.834767202,0.835946462,0.837119808,0.838287383,0.839040558,0.839787695,0.840528942,0.841264445,0.841994342,0.84253385,0.843066798,0.843593356,0.844113687,0.844627946,0.84539327,0.846152251,0.846905047,0.847651814,0.848392702,0.849147807,0.849896825,0.850639908,0.851377201
"Governance Model (2020)","SSP1","Bahrain","","Governance Index|Control of Corruption",0.537869156,0.544025191,0.550035583,0.555907973,0.561649334,0.567266064,0.572030667,0.576708291,0.581301841,0.585814107,0.590247769,0.593661204,0.597001899,0.600272192,0.603474331,0.606610488,0.610444416,0.614216539,0.617928799,0.62158307,0.62518116,0.628128002,0.631021069,0.633862041,0.636652537,0.639394122,0.641918259,0.644395602,0.646827599,0.649215649,0.651561105,0.653680389,0.655759281,0.657799015,0.659800785,0.661765744,0.663262557,0.664724791,0.666153484,0.667549643,0.668914241,0.670469709,0.671995798,0.673493376,0.674963283,0.676406331,0.677578951,0.678726508,0.67984973,0.680949323,0.682025973,0.683403052,0.684758712,0.686093567,0.687408215,0.688703232,0.689638645,0.690555693,0.691454897,0.692336762,0.693201777,0.69414816,0.695078643,0.69599367,0.696893676,0.697779078,0.698656112,0.699519236,0.700368835,0.701205282,0.70202894,0.702857107,0.703672866,0.704476557,0.70526851,0.706049044,0.706919688,0.707779473,0.708628692,0.709467629,0.710296559,0.711122831,0.7119395,0.71274682,0.713545038
"Governance Model (2020)","SSP1","Bangladesh","","Governance Index|Control of Corruption",0.210759534,0.221125142,0.231224934,0.241069856,0.250670148,0.260035421,0.268909415,0.277564007,0.286007468,0.294247627,0.302291914,0.310458833,0.318426254,0.326202198,0.333794201,0.341209366,0.348208605,0.355025236,0.361667103,0.368141521,0.374455334,0.381091207,0.387555153,0.393855294,0.399999128,0.405993597,0.411922005,0.417693908,0.423316989,0.428798308,0.434144384,0.439528517,0.444770036,0.449876165,0.454853527,0.459708222,0.464248402,0.468660264,0.472950374,0.47712475,0.481188935,0.485852276,0.490388237,0.494804101,0.499106464,0.50330133,0.507759579,0.512101108,0.516332685,0.520460436,0.524489936,0.528561643,0.532535386,0.536416433,0.540209602,0.543919315,0.547215053,0.550435297,0.553583529,0.556662988,0.559676693,0.562814063,0.565893642,0.568917723,0.571888473,0.57480794,0.577298947,0.57974451,0.582146245,0.584505689,0.586824313,0.589315652,0.591769762,0.594187881,0.596571196,0.598920844,0.600902583,0.602852891,0.604772772,0.606663191,0.608525076,0.61037025,0.612188293,0.613980053,0.615746341
"Governance Model (2020)","SSP1","Barbados","","Governance Index|Control of Corruption",0.782629398,0.782642718,0.782644645,0.782634774,0.782612677,0.782577903,0.782861075,0.783140363,0.783415686,0.783686962,0.783954106,0.784806005,0.78565699,0.786507071,0.787356256,0.788204553,0.789807233,0.791400425,0.792984424,0.794559507,0.796125943,0.797608554,0.799073932,0.80052279,0.801955796,0.803373579,0.804905936,0.806418924,0.807913389,0.809390125,0.810849873,0.812663157,0.814459291,0.81623898,0.818002888,0.81975164,0.821151994,0.822538381,0.82391132,0.825271305,0.8266188,0.827952032,0.829273711,0.830584228,0.831883958,0.833173256,0.834831398,0.836478249,0.83811419,0.83973958,0.841354762,0.84270007,0.844033406,0.845355185,0.8466658,0.847965624,0.84966243,0.851346596,0.853018572,0.854678784,0.856327634,0.857717582,0.859093952,0.860457242,0.861807924,0.863146447,0.86485914,0.866558617,0.868245359,0.86991982,0.87158243,0.872955973,0.874316538,0.875664594,0.877000582,0.878324922,0.879689532,0.881041486,0.882381237,0.883709209,0.885025807,0.886368349,0.887699015,0.889018216,0.890326339
