"model","scenario","region","unit","variable","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2035","2040","2045","2050"
"Structural Change Model (2023)","SSP1","Afghanistan","%","Employment|Agriculture [Share]",47.12,47.12,47.23,47.08,47.48,47.48,47.48,47.48,47.48,47.48,47.48,46.88,46.28,45.68,45.09,41,36.16,30.96,25.82
"Structural Change Model (2023)","SSP1","Albania","%","Employment|Agriculture [Share]",40.57,39.7,38.73,38.14,38.78,37.55,36.48,35.49,34.57,33.71,32.84,32.18,31.53,30.88,30.22,26.81,23.89,21.31,19.16
"Structural Change Model (2023)","SSP1","Algeria","%","Employment|Agriculture [Share]",10.29,10.35,10.42,10.52,11.17,11.03,11.02,11.01,11.08,11.2,11.32,11.04,10.77,10.49,10.21,9.06,7.95,6.890000000000001,5.87
"Structural Change Model (2023)","SSP1","Angola","%","Employment|Agriculture [Share]",52.42,53.13,54.2,54.96,56.37,57.04,57.15,57.09,56.98,56.83000000000001,56.71000000000001,56.31,55.91,55.50000000000001,55.1,53.23,50.23,45.65,39.93
"Structural Change Model (2023)","SSP1","Argentina","%","Employment|Agriculture [Share]",0.27,0.26,0.28,0.29,0.32,0.3,0.3,0.29,0.29,0.29,0.29,0.27,0.25,0.24,0.22,0.16,0.13,0.1,0.08
"Structural Change Model (2023)","SSP1","Armenia","%","Employment|Agriculture [Share]",35.36,33.87,32.82,31.29,33.03,31.68,30.73,29.8,28.94,28.11,27.28,26.56,25.84,25.12,24.4,20.74,17.86,15.55,13.72
"Structural Change Model (2023)","SSP1","Australia","%","Employment|Agriculture [Share]",2.61,2.59,2.54,2.52,2.57,2.46,2.34,2.29,2.25,2.21,2.16,2.11,2.05,2,1.94,1.69,1.49,1.32,1.19
"Structural Change Model (2023)","SSP1","Austria","%","Employment|Agriculture [Share]",4.5,4.399999999999999,4.29,4.23,4.64,4.45,4.23,4.14,4.06,3.98,3.92,3.84,3.76,3.68,3.6,3.22,2.92,2.67,2.47
"Structural Change Model (2023)","SSP1","Azerbaijan","%","Employment|Agriculture [Share]",37.37,37.57,37.41999999999999,37.04,38.29,37.88,37.61,37.49,37.37,37.24,37.11,36.72000000000001,36.33,35.94,35.55,34.11,32.25,30.16,28.07
"Structural Change Model (2023)","SSP1","Bahamas","%","Employment|Agriculture [Share]",2.43,2.36,2.3,2.29,2.92,2.89,2.66,2.56,2.49,2.47,2.45,2.38,2.31,2.23,2.16,1.82,1.57,1.36,1.2
"Structural Change Model (2023)","SSP1","Bahrain","%","Employment|Agriculture [Share]",1.08,1.09,1.13,1.17,1.31,1.29,1.27,1.26,1.24,1.23,1.21,1.19,1.16,1.13,1.11,0.9900000000000001,0.91,0.84,0.79
"Structural Change Model (2023)","SSP1","Bangladesh","%","Employment|Agriculture [Share]",42.62,41.73,40.73999999999999,39.67,39.46,38.73,37.44,36.43,35.41,34.37,33.35,32.57,31.78,31,30.22,25.91,21.94,18.36,15.26
"Structural Change Model (2023)","SSP1","Barbados","%","Employment|Agriculture [Share]",2.82,2.81,2.83,2.84,3.45,3.35,3.1,2.96,2.89,2.84,2.8,2.69,2.59,2.48,2.38,1.93,1.55,1.25,1.03
"Structural Change Model (2023)","SSP1","Belarus","%","Employment|Agriculture [Share]",9.950000000000001,9.71,9.42,9.24,9.3,9.06,8.97,8.84,8.7,8.55,8.4,7.960000000000001,7.52,7.090000000000001,6.65,5.029999999999999,3.97,3.27,2.79
"Structural Change Model (2023)","SSP1","Belgium","%","Employment|Agriculture [Share]",1.17,1.15,1.13,1.11,1.23,1.14,1.1,1.08,1.07,1.05,1.04,1.01,0.9900000000000001,0.97,0.9400000000000001,0.83,0.74,0.67,0.62
"Structural Change Model (2023)","SSP1","Belize","%","Employment|Agriculture [Share]",18.17,18.19,18.08,18.09,20.15,19.43,19.04,18.94,18.94,18.94,18.94,18.28,17.63,16.97,16.32,13.23,10.54,8.38,6.7
"Structural Change Model (2023)","SSP1","Benin","%","Employment|Agriculture [Share]",41.02,40.67,40.2,39.7,39.56,39.21,38.74,38.26,37.78,37.29,36.79,36.23,35.66,35.09,34.52,30.86,26.86,22.64,18.52
"Structural Change Model (2023)","SSP1","Bhutan","%","Employment|Agriculture [Share]",56.51000000000001,55.73,55.31,54.32,56.22000000000001,56.88999999999999,56.16999999999999,55.1,53.59,52.45999999999999,51.31,48.63,45.95,43.28,40.6,29.97,22.51,17.19,13.44
"Structural Change Model (2023)","SSP1","Bolivia","%","Employment|Agriculture [Share]",27.4,26.96,26.51,26.38,27.96,27.4,26.97,26.61,26.24,25.88,25.58,24.54,23.5,22.46,21.42,16.68,13,10.11,7.89
"Structural Change Model (2023)","SSP1","Bosnia and Herzegovina","%","Employment|Agriculture [Share]",16.98,16.43,15.84,15.39,15.88,15.46,15.01,14.6,14.17,13.76,13.37,12.82,12.26,11.71,11.16,8.92,7.399999999999999,6.329999999999999,5.59
"Structural Change Model (2023)","SSP1","Botswana","%","Employment|Agriculture [Share]",21.47,21.32,20.93,20.79,22.65,21.43,20.98,20.58,20.25,19.93,19.61,18.89,18.17,17.45,16.73,13.76,11.36,9.5,8.05
"Structural Change Model (2023)","SSP1","Brazil","%","Employment|Agriculture [Share]",10.59,10.54,10.45,10.39,10.86,10.4,10.32,10.18,10.04,9.9,9.75,9.41,9.06,8.72,8.37,6.84,5.55,4.54,3.76
"Structural Change Model (2023)","SSP1","Brunei Darussalam","%","Employment|Agriculture [Share]",0.7799999999999999,0.7799999999999999,0.79,0.76,0.76,0.74,0.7100000000000001,0.69,0.67,0.65,0.63,0.62,0.61,0.59,0.58,0.52,0.46,0.42,0.38
"Structural Change Model (2023)","SSP1","Bulgaria","%","Employment|Agriculture [Share]",6.58,6.31,6.069999999999999,5.800000000000001,6.02,5.71,5.42,5.16,4.93,4.73,4.55,4.32,4.09,3.87,3.64,2.8,2.27,1.92,1.67
"Structural Change Model (2023)","SSP1","Burkina Faso","%","Employment|Agriculture [Share]",29.53,29.29,28.99,28.77,28.84,28.54,28.32,28.11,27.91,27.71,27.5,26.87,26.23,25.6,24.96,21.32,17.71,14.39,11.49
"Structural Change Model (2023)","SSP1","Burundi","%","Employment|Agriculture [Share]",86.3,86.3,86.3,86.3,86.29,86.29,86.29,86.3,86.3,86.3,86.3,86.11999999999999,85.94000000000001,85.76,85.58,83,79.05,73.83,67.58
"Structural Change Model (2023)","SSP1","Cabo Verde","%","Employment|Agriculture [Share]",14.22,13.99,13.69,13.28,14.88,14.62,14.14,13.7,13.26,12.82,12.38,11.93,11.47,11.01,10.55,8.450000000000001,6.74,5.390000000000001,4.36
"Structural Change Model (2023)","SSP1","Cambodia","%","Employment|Agriculture [Share]",41.74,41,40.16,39.35,40.05,39.91,39.23,38.43,37.6,36.76,35.9,34.79,33.69,32.58,31.47,26.04,21.23,17.11,13.8
"Structural Change Model (2023)","SSP1","Cameroon","%","Employment|Agriculture [Share]",46.32,46.2,46,45.85,46.11,45.96,45.68,45.34,44.95,44.52999999999999,44.07,43.03,41.98,40.94,39.90000000000001,34,28.23,22.96,18.41
"Structural Change Model (2023)","SSP1","Canada","%","Employment|Agriculture [Share]",1.65,1.61,1.59,1.58,1.73,1.61,1.53,1.5,1.49,1.48,1.47,1.46,1.44,1.42,1.41,1.31,1.2,1.11,1.03
"Structural Change Model (2023)","SSP1","Central African Republic","%","Employment|Agriculture [Share]",71.8,71.76,71.73,71.7,71.73,71.77,71.74000000000001,71.7,71.65,71.6,71.54,71.11,70.69,70.26,69.84,65.84,60.41999999999999,53.89000000000001,46.75
"Structural Change Model (2023)","SSP1","Chad","%","Employment|Agriculture [Share]",75.92999999999999,76.24,76.27000000000001,76.25999999999999,76.44,76.53,76.55999999999999,76.57000000000001,76.51,76.44,76.4,75.92,75.44999999999999,74.98,74.5,70.82000000000001,65.61,59.20999999999999,51.93
"Structural Change Model (2023)","SSP1","Chile","%","Employment|Agriculture [Share]",9.370000000000001,9.4,9.180000000000001,9.2,9.879999999999999,8.98,8.84,8.76,8.66,8.53,8.39,8.01,7.630000000000001,7.249999999999999,6.859999999999999,5.37,4.35,3.58,3.04
"Structural Change Model (2023)","SSP1","China","%","Employment|Agriculture [Share]",27.45,26.3,25.18,24.2,23.84,22.52,21.6,20.75,19.91,19.09,18.32,17.41,16.49,15.58,14.67,11.33,8.95,7.27,6.12
"Structural Change Model (2023)","SSP1","Colombia","%","Employment|Agriculture [Share]",15.96,15.98,15.84,15.59,16.71,15.89,15.52,15.24,14.93,14.61,14.29,13.85,13.41,12.97,12.53,10.34,8.44,6.909999999999999,5.680000000000001
"Structural Change Model (2023)","SSP1","Comoros","%","Employment|Agriculture [Share]",37.15,36.98,36.84,36.87,36.55,36.68,36.67,36.67,36.65,36.59,36.52,35.86,35.19,34.52,33.86,29.64,25.33,21.06,17.09
"Structural Change Model (2023)","SSP1","Congo","%","Employment|Agriculture [Share]",36.55,37.6,38.69,39.03,40.52,40.87,40.9,40.84,40.28,40.38,40.61,38.82,37.04,35.25,33.46,25.95,19.96,15.42,11.98
"Structural Change Model (2023)","SSP1","Costa Rica","%","Employment|Agriculture [Share]",11.63,11.28,11.16,11.03,11.66,11.34,11.07,10.85,10.63,10.4,10.16,9.790000000000001,9.41,9.04,8.67,7.03,5.83,4.91,4.21
"Structural Change Model (2023)","SSP1","Croatia","%","Employment|Agriculture [Share]",8.870000000000001,8.450000000000001,8.129999999999999,7.829999999999999,8.57,7.95,7.41,7.03,6.72,6.5,6.29,6.140000000000001,5.98,5.83,5.67,4.93,4.44,4.08,3.8
"Structural Change Model (2023)","SSP1","Cyprus","%","Employment|Agriculture [Share]",3.76,3.58,3.39,3.3,3.55,3.41,3.32,3.25,3.2,3.15,3.1,3.04,2.99,2.93,2.87,2.56,2.31,2.1,1.93
"Structural Change Model (2023)","SSP1","Czechia","%","Employment|Agriculture [Share]",2.87,2.72,2.63,2.57,2.76,2.65,2.53,2.42,2.32,2.24,2.17,2.09,2.01,1.93,1.85,1.51,1.29,1.14,1.02
"Structural Change Model (2023)","SSP1","Côte d'Ivoire","%","Employment|Agriculture [Share]",42.8,42.06,41.38,40.79,40.92,40.37,39.73999999999999,39.1,38.48,37.89,37.3,35.66,34.02,32.38,30.74,22.97,17.14,12.75,9.569999999999999
"Structural Change Model (2023)","SSP1","Democratic Republic of the Congo","%","Employment|Agriculture [Share]",66.17,66.16,66.09,66.05,66.12,66.07,66,65.88000000000001,65.75,65.60000000000001,65.5,64.87,64.24,63.62,62.99,57.69,51.04,43.62,36.21
"Structural Change Model (2023)","SSP1","Denmark","%","Employment|Agriculture [Share]",2.42,2.35,2.29,2.21,2.31,2.2,2.12,2.07,2.03,1.99,1.94,1.91,1.88,1.85,1.83,1.67,1.56,1.45,1.35
"Structural Change Model (2023)","SSP1","Djibouti","%","Employment|Agriculture [Share]",27.57,27.08,26.2,25.39,25.52,25.05,24.51,23.89,23.26,22.62,21.98,21.57,21.15,20.73,20.31,17.95,15.61,13.35,11.25
"Structural Change Model (2023)","SSP1","Dominican Republic","%","Employment|Agriculture [Share]",9.24,8.93,8.44,8.110000000000001,8.790000000000001,8.09,7.73,7.399999999999999,7.1,6.800000000000001,6.510000000000001,6.32,6.140000000000001,5.96,5.77,4.91,4.21,3.63,3.15
"Structural Change Model (2023)","SSP1","Ecuador","%","Employment|Agriculture [Share]",26.73,26.63,26.72,27.02,28.81,28.55,28.17,27.97,27.75,27.51,27.26,26.41,25.56,24.71,23.85,19.69,16.05,13.02,10.57
"Structural Change Model (2023)","SSP1","Egypt","%","Employment|Agriculture [Share]",25.46,25.11,24.58,23.99,23.73,23.51,22.99,22.4,21.81,21.21,20.62,19.95,19.27,18.59,17.92,14.65,11.93,9.78,8.110000000000001
"Structural Change Model (2023)","SSP1","El Salvador","%","Employment|Agriculture [Share]",17.86,17.65,17.42,17.16,18.24,17.24,16.87,16.65,16.44,16.26,16.11,15.58,15.05,14.53,14,11.45,9.29,7.52,6.11
"Structural Change Model (2023)","SSP1","Equatorial Guinea","%","Employment|Agriculture [Share]",41.82,44.32,46.91,49.34,51.41,51.21,53.34999999999999,54.42,55.34,56.65,57.76,55.82,53.88,51.95,50.01,41.81,34.81,29.05,24.4
"Structural Change Model (2023)","SSP1","Estonia","%","Employment|Agriculture [Share]",3.78,3.56,3.4,3.22,3.35,3.04,2.89,2.76,2.65,2.54,2.43,2.35,2.26,2.17,2.08,1.71,1.49,1.33,1.21
"Structural Change Model (2023)","SSP1","Eswatini","%","Employment|Agriculture [Share]",13.53,13.43,13.3,13.18,13.45,13.4,13.34,13.28,13.19,13.09,12.99,12.73,12.47,12.21,11.96,10.42,8.88,7.430000000000001,6.12
"Structural Change Model (2023)","SSP1","Ethiopia","%","Employment|Agriculture [Share]",68.95,68.45,68.12,67.65,67.35,67.32000000000001,67.32000000000001,67.32000000000001,67.32000000000001,67.32000000000001,67.32000000000001,66.53999999999999,65.77,64.99000000000001,64.22,58.8,52.27,45.06,37.8
