"model","scenario","region","unit","variable","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075"
"Human Development Index Model (2015)","SSP1","Algeria","","Human Development Index",0.6659988,0.683694419,0.700443595,0.717604291,0.735381627,0.752426014,0.768622341,0.782820832,0.793052404,0.799726267,0.802532832,0.805081883,0.807233285,0.808913435
"Human Development Index Model (2015)","SSP1","Argentina","","Human Development Index",0.735605908,0.750137957,0.767399953,0.78184601,0.793859611,0.804060527,0.813532058,0.822262394,0.82797623,0.831333308,0.831972126,0.833337268,0.835101772,0.836956094
"Human Development Index Model (2015)","SSP1","Armenia","","Human Development Index",0.668342841,0.691769537,0.725073957,0.751501612,0.767844627,0.776763954,0.782117292,0.78554903,0.78661074,0.786374235,0.78444094,0.78373451,0.783855395,0.784457478
"Human Development Index Model (2015)","SSP1","Australia","","Human Development Index",0.86230927,0.872213163,0.884888048,0.896542706,0.90618229,0.913414831,0.919371877,0.924272468,0.926088685,0.92539063,0.921829997,0.91919757,0.917308661,0.915535949
"Human Development Index Model (2015)","SSP1","Austria","","Human Development Index",0.847187676,0.853092722,0.858940551,0.864348309,0.869862573,0.874810962,0.880007003,0.884533233,0.886247332,0.885686467,0.882614018,0.88077727,0.879781398,0.878839242
"Human Development Index Model (2015)","SSP1","Azerbaijan","","Human Development Index",0.676152415,0.715491572,0.746307599,0.757478806,0.763049325,0.76741355,0.772891584,0.778589415,0.782321291,0.78380765,0.782724135,0.781808503,0.780905042,0.779707516
"Human Development Index Model (2015)","SSP1","Bahamas","","Human Development Index",0.752728502,0.760818589,0.770249659,0.78229271,0.793972155,0.803210812,0.811420012,0.818370895,0.822803686,0.825194694,0.82490584,0.825648146,0.827114832,0.828154833
"Human Development Index Model (2015)","SSP1","Bahrain","","Human Development Index",0.750099959,0.767611374,0.787419947,0.800012349,0.810658689,0.819401082,0.827542755,0.834588459,0.838859863,0.840687875,0.839594762,0.839155471,0.839091152,0.839078124
"Human Development Index Model (2015)","SSP1","Bangladesh","","Human Development Index",0.48564841,0.510352863,0.539541373,0.566977195,0.592263819,0.615974969,0.638613022,0.659787517,0.678097756,0.693611038,0.707033794,0.720305769,0.732298656,0.742159085
"Human Development Index Model (2015)","SSP1","Belarus","","Human Development Index",0.718660029,0.739763861,0.758476974,0.770293364,0.778693048,0.784722353,0.790188132,0.795023879,0.797720393,0.798684496,0.79750784,0.797413201,0.798069042,0.79897574
"Human Development Index Model (2015)","SSP1","Belgium","","Human Development Index",0.842623407,0.852391983,0.866984347,0.881694093,0.894265821,0.90355081,0.910964173,0.916748227,0.919224746,0.919124943,0.916003923,0.913904978,0.912386701,0.910962341
"Human Development Index Model (2015)","SSP1","Belize","","Human Development Index",0.616381044,0.635613122,0.657119682,0.678991575,0.697104263,0.71232629,0.725438807,0.736536102,0.745188765,0.751779656,0.755411696,0.75941813,0.764519791,0.770107992
"Human Development Index Model (2015)","SSP1","Benin","","Human Development Index",0.383969206,0.414452239,0.450153746,0.483184017,0.516640832,0.547989038,0.577612718,0.605519844,0.629137222,0.649218038,0.665503385,0.680791379,0.694873146,0.707506987
"Human Development Index Model (2015)","SSP1","Bhutan","","Human Development Index",0.521237074,0.562998697,0.615263918,0.65480216,0.685446254,0.709771262,0.731255286,0.750522963,0.766117421,0.778591282,0.787154336,0.795207501,0.802671855,0.809615838
"Human Development Index Model (2015)","SSP1","Bolivia","","Human Development Index",0.602296598,0.621952886,0.64165581,0.660704985,0.679996856,0.698419779,0.717247939,0.733445883,0.746110373,0.754692045,0.759552199,0.764035207,0.767469148,0.770240603
"Human Development Index Model (2015)","SSP1","Bosnia and Herzegovina","","Human Development Index",0.707017295,0.731198033,0.76270357,0.784670601,0.800886586,0.812791269,0.822651839,0.830922553,0.836158454,0.839108973,0.83934466,0.84049394,0.842241581,0.844216412
"Human Development Index Model (2015)","SSP1","Brazil","","Human Development Index",0.652506154,0.669345101,0.690181286,0.708846808,0.725338207,0.740287844,0.754999404,0.767631841,0.776567167,0.782182245,0.784183021,0.786531223,0.789114943,0.791939355
"Human Development Index Model (2015)","SSP1","Bulgaria","","Human Development Index",0.729389405,0.744439087,0.76072209,0.773964027,0.784475322,0.792770507,0.800041225,0.806154784,0.809752779,0.811254614,0.810269357,0.810367083,0.81133963,0.812700239
"Human Development Index Model (2015)","SSP1","Burkina Faso","","Human Development Index",0.326656528,0.3597304,0.395417762,0.428068626,0.461649835,0.494417356,0.525995109,0.556234141,0.581398863,0.603873855,0.623863872,0.64388661,0.662990056,0.680419888
"Human Development Index Model (2015)","SSP1","Burundi","","Human Development Index",0.292746521,0.32708245,0.372796089,0.411503688,0.445317577,0.475704149,0.503891674,0.531837904,0.557722796,0.581915571,0.603908984,0.625488584,0.645893166,0.66426266
"Human Development Index Model (2015)","SSP1","Cabo Verde","","Human Development Index",0.555850283,0.583688574,0.611623035,0.631745256,0.648361862,0.663121719,0.677590065,0.691637448,0.70378282,0.713788259,0.720686198,0.727477821,0.735517926,0.743599626
"Human Development Index Model (2015)","SSP1","Cambodia","","Human Development Index",0.46066399,0.493127739,0.539938056,0.581844585,0.615154899,0.643243644,0.6666118,0.686503039,0.701357593,0.712545816,0.720015106,0.727608856,0.735442296,0.742897147
"Human Development Index Model (2015)","SSP1","Cameroon","","Human Development Index",0.459743482,0.48931966,0.523218674,0.554159394,0.583027049,0.610927034,0.636807417,0.660181251,0.678967147,0.694452541,0.706346046,0.718220547,0.729646494,0.740010328
"Human Development Index Model (2015)","SSP1","Canada","","Human Development Index",0.871888818,0.875549155,0.882179552,0.890012473,0.897061526,0.9023095,0.906790985,0.910339729,0.911059258,0.909639092,0.905723616,0.902922146,0.90093818,0.899096257
"Human Development Index Model (2015)","SSP1","Central African Republic","","Human Development Index",0.34182932,0.377817094,0.419559132,0.453787091,0.486484612,0.516558704,0.546319753,0.573541013,0.598332066,0.620027002,0.638203458,0.655079841,0.670288808,0.683869438
"Human Development Index Model (2015)","SSP1","Chad","","Human Development Index",0.31725356,0.355892155,0.390356996,0.422515759,0.453477181,0.48347309,0.513677975,0.542990375,0.569202592,0.592274954,0.611892889,0.630052868,0.646821364,0.66256433
"Human Development Index Model (2015)","SSP1","Chile","","Human Development Index",0.76586292,0.778433118,0.792162093,0.805491704,0.818059772,0.828592614,0.838012366,0.8458424,0.850257109,0.851782426,0.850314301,0.849820318,0.850282446,0.851061792
"Human Development Index Model (2015)","SSP1","China","","Human Development Index",0.647348169,0.679701304,0.713141652,0.737812886,0.756137549,0.769994355,0.781146851,0.790713745,0.797029463,0.800800756,0.801744294,0.803306438,0.805168862,0.806822346
"Human Development Index Model (2015)","SSP1","Colombia","","Human Development Index",0.669541795,0.687486489,0.70675233,0.72423494,0.740091397,0.753416064,0.767014228,0.780024421,0.789722411,0.795692194,0.797717244,0.799257503,0.80045669,0.801450939
"Human Development Index Model (2015)","SSP1","Comoros","","Human Development Index",0.419056984,0.44230698,0.469005663,0.499885114,0.529241889,0.556695001,0.583616733,0.607448089,0.629679851,0.647291191,0.660715323,0.672845389,0.683913462,0.693629832
"Human Development Index Model (2015)","SSP1","Congo","","Human Development Index",0.519676837,0.548224397,0.590506137,0.628029512,0.658578015,0.682191677,0.70169832,0.718439386,0.730581888,0.740149076,0.746849019,0.75416333,0.7616179,0.768408383
"Human Development Index Model (2015)","SSP1","Costa Rica","","Human Development Index",0.698483227,0.712994669,0.727159029,0.739307447,0.750081191,0.758938305,0.767319672,0.775439689,0.782787694,0.788874373,0.791927984,0.794468887,0.796903648,0.799308616
"Human Development Index Model (2015)","SSP1","Croatia","","Human Development Index",0.762104119,0.774915173,0.787181878,0.798490219,0.808297603,0.816035826,0.822623797,0.828049791,0.830911945,0.831757096,0.830469293,0.830361749,0.831101908,0.83209684
"Human Development Index Model (2015)","SSP1","Cuba","","Human Development Index",0.701235634,0.715767892,0.733743201,0.747715138,0.759440012,0.768326922,0.776009493,0.782262637,0.785673607,0.7871816,0.786432615,0.787029544,0.788523075,0.790288658
"Human Development Index Model (2015)","SSP1","Cyprus","","Human Development Index",0.823626686,0.837001526,0.854877198,0.870712142,0.882278506,0.889991844,0.896078379,0.900878396,0.902620217,0.902087451,0.898935346,0.896734019,0.895238578,0.893986286
"Human Development Index Model (2015)","SSP1","Czechia","","Human Development Index",0.81177614,0.819268604,0.824673464,0.829367722,0.834991062,0.840840044,0.847160742,0.852725307,0.855345385,0.855780996,0.853773259,0.853242309,0.853473512,0.854075592
"Human Development Index Model (2015)","SSP1","Côte d'Ivoire","","Human Development Index",0.408574523,0.439825611,0.472969508,0.504357521,0.537430065,0.569435278,0.600416098,0.629613971,0.653546583,0.673203051,0.688790957,0.703025952,0.715910781,0.727060381
"Human Development Index Model (2015)","SSP1","Democratic Republic of the Congo","","Human Development Index",0.284879925,0.359604107,0.455001645,0.530397588,0.584007351,0.622021458,0.651282253,0.675385264,0.693553941,0.707390504,0.717934421,0.72787572,0.736656403,0.744498994
