country_name,scenario,log_gdp_pc_ood_onset,log_population_ood_onset,hdi_ood_onset,control_of_corruption_ood_onset,employment_agriculture_ood_onset,gini_coefficient_ood_onset,gdp_growth_5y_ood_onset,region_EAP_ood_onset,region_ECA_ood_onset,region_LAC_ood_onset,region_MENA_ood_onset,region_NAC_ood_onset,region_SAS_ood_onset
Algeria,SSP1,2025,,,,2080.0,,,,,,,2025.0,2025.0
Algeria,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Algeria,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Argentina,SSP1,2025,,,,2030.0,,,,,,,2025.0,2025.0
Argentina,SSP4,2025,,,,2030.0,,,,,,,2025.0,2025.0
Argentina,SSP5,2025,,,,2030.0,,,,,,,2025.0,2025.0
Armenia,SSP1,2025,,,,2085.0,,,,,,,2025.0,2025.0
Armenia,SSP4,2025,,,,2100.0,,,,,,,2025.0,2025.0
Armenia,SSP5,2025,,,,2075.0,,,,,,,2025.0,2025.0
Australia,SSP1,2025,,,,2085.0,,,,,,,2025.0,2025.0
Australia,SSP4,2025,,,,2080.0,,,,,,,2025.0,2025.0
Australia,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Austria,SSP1,2025,,,,2100.0,2080.0,,,,,,2025.0,2025.0
Austria,SSP4,2025,,,,2095.0,,,,,,,2025.0,2025.0
Austria,SSP5,2025,,,,2080.0,2070.0,,,,,,2025.0,2025.0
Azerbaijan,SSP1,2025,,,,,2025.0,,,,,,2025.0,2025.0
Azerbaijan,SSP4,2025,,,,,2025.0,,,,,,2025.0,2025.0
Azerbaijan,SSP5,2025,,,,2090.0,2025.0,,,,,,2025.0,2025.0
Bahamas,SSP1,2025,,,,2080.0,,,,,,,2025.0,2025.0
Bahamas,SSP4,2025,,,,2080.0,,,,,,,2025.0,2025.0
Bahamas,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Bahrain,SSP1,2025,,,,2100.0,,,,,,,2025.0,2025.0
Bahrain,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Bahrain,SSP5,2025,,,,2080.0,,,,,,,2025.0,2025.0
Bangladesh,SSP1,2025,,,,2075.0,,,,,,,2025.0,
Bangladesh,SSP4,2025,,,,,,,,,,,2025.0,
Bangladesh,SSP5,2025,,,,2070.0,,,,,,,2025.0,
Belarus,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
Belarus,SSP4,2025,,,,2080.0,,,,,,,2025.0,2025.0
Belarus,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Belgium,SSP1,2025,,,,2085.0,2075.0,,,,,,2025.0,2025.0
Belgium,SSP4,2025,,,,2075.0,,,,,,,2025.0,2025.0
Belgium,SSP5,2025,,,,2070.0,2060.0,,,,,,2025.0,2025.0
Belize,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Belize,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Belize,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Benin,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
Benin,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Benin,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Bhutan,SSP1,2025,,,,2065.0,,,,,,,2025.0,
Bhutan,SSP4,2025,,,,2075.0,,,,,,,2025.0,
Bhutan,SSP5,2025,,,,2065.0,,,,,,,2025.0,
Bolivia,SSP1,2025,,,,2065.0,2070.0,,,,,,2025.0,2025.0
Bolivia,SSP4,2025,,,,2085.0,2095.0,,,,,,2025.0,2025.0
Bolivia,SSP5,2025,,,,2065.0,2070.0,,,,,,2025.0,2025.0
Bosnia and Herzegovina,SSP1,2025,,,,2080.0,,,,,,,2025.0,2025.0
Bosnia and Herzegovina,SSP4,2025,,,,2090.0,,,,,,,2025.0,2025.0
Bosnia and Herzegovina,SSP5,2025,,,,2075.0,,,,,,,2025.0,2025.0
Brazil,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Brazil,SSP4,2025,,,,2085.0,,,,,,,2025.0,2025.0
Brazil,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Bulgaria,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
Bulgaria,SSP4,2025,,,,2085.0,,,,,,,2025.0,2025.0
Bulgaria,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Burkina Faso,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Burkina Faso,SSP4,2025,,2025.0,,,,,,,,,2025.0,2025.0
Burkina Faso,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Burundi,SSP1,2025,,,,,,,,,,,2025.0,2025.0
Burundi,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Burundi,SSP5,2025,,,,2090.0,,,,,,,2025.0,2025.0
Cabo Verde,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Cabo Verde,SSP4,2025,,,,2085.0,,,,,,,2025.0,2025.0
