model_name,threshold,gpu_used,best_params,train_rmse,train_mae,train_r2,rmse,mae,r2,mape,cv_rmse,elapsed_s,model_path
xgboost_cpu,$3,False,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",1304474285902.2065,309849991524.0059,-0.05979338443821147,2219287935711.8687,524986726889.65485,-0.059275940059416055,99.99999878907317,,0.3,/Users/noahg/Downloads/SSP_v2/src/models/xgboost_cpu_3_approach_a.pkl
xgboost_gpu,$3,True,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",1304474285902.2065,309849991524.0059,-0.05979338443821147,2219287935711.8687,524986726889.65485,-0.059275940059416055,99.99999878907317,,0.2,/Users/noahg/Downloads/SSP_v2/src/models/xgboost_gpu_3_approach_a.pkl
random_forest,$3,False,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 1}",1304474285902.1887,309849991512.0248,-0.059793384438182384,2219287935711.864,524986726885.7016,-0.05927594005941139,99.99999846764356,,0.3,/Users/noahg/Downloads/SSP_v2/src/models/random_forest_3_approach_a.pkl
gam,$3,False,"{'n_splines': 10, 'lam': 0.6}",1304474285903.1042,309849991554.1002,-0.05979338443967053,2219287935712.3813,524986726917.86694,-0.05927594005990522,99.99999923556173,,0.1,/Users/noahg/Downloads/SSP_v2/src/models/gam_3_approach_a.pkl
ridge,$3,False,{'alpha': 0.01},1304474285902.2998,309849991545.20087,-0.05979338443836313,2219287935711.9014,524986726904.65936,-0.05927594005944692,99.99999973030012,,0.0,/Users/noahg/Downloads/SSP_v2/src/models/ridge_3_approach_a.pkl
mlp,$3,False,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.001, 'learning_rate_init': 0.001}",1304474285903.4885,309849991552.6757,-0.05979338444029447,2219287935712.908,524986726919.3606,-0.05927594006040815,99.99999909245959,,0.1,/Users/noahg/Downloads/SSP_v2/src/models/mlp_3_approach_a.pkl
xgboost_cpu,$4.20,False,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",1304474285902.2065,309849991524.0059,-0.05979338443821147,2219287935711.8687,524986726889.65485,-0.059275940059416055,99.99999878907317,,0.3,/Users/noahg/Downloads/SSP_v2/src/models/xgboost_cpu_4_20_approach_a.pkl
xgboost_gpu,$4.20,True,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",1304474285902.2065,309849991524.0059,-0.05979338443821147,2219287935711.8687,524986726889.65485,-0.059275940059416055,99.99999878907317,,0.3,/Users/noahg/Downloads/SSP_v2/src/models/xgboost_gpu_4_20_approach_a.pkl
random_forest,$4.20,False,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 1}",1304474285902.1887,309849991512.0248,-0.059793384438182384,2219287935711.864,524986726885.7016,-0.05927594005941139,99.99999846764356,,0.2,/Users/noahg/Downloads/SSP_v2/src/models/random_forest_4_20_approach_a.pkl
gam,$4.20,False,"{'n_splines': 10, 'lam': 0.6}",1304474285903.1042,309849991554.1002,-0.05979338443967053,2219287935712.3813,524986726917.86694,-0.05927594005990522,99.99999923556173,,0.1,/Users/noahg/Downloads/SSP_v2/src/models/gam_4_20_approach_a.pkl
ridge,$4.20,False,{'alpha': 0.01},1304474285902.2998,309849991545.20087,-0.05979338443836313,2219287935711.9014,524986726904.65936,-0.05927594005944692,99.99999973030012,,0.0,/Users/noahg/Downloads/SSP_v2/src/models/ridge_4_20_approach_a.pkl
mlp,$4.20,False,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.001, 'learning_rate_init': 0.001}",1304474285903.4885,309849991552.6757,-0.05979338444029447,2219287935712.908,524986726919.3606,-0.05927594006040815,99.99999909245959,,0.1,/Users/noahg/Downloads/SSP_v2/src/models/mlp_4_20_approach_a.pkl
xgboost_cpu,$8.30,False,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",1.0832286933381474,0.7460252776748377,0.9989700541240283,6.674960327041716,4.070049052681331,0.9478562435910484,66.46126520319126,,0.3,/Users/noahg/Downloads/SSP_v2/src/models/xgboost_cpu_8_30_approach_a.pkl
xgboost_gpu,$8.30,True,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",1.0832286933381474,0.7460252776748377,0.9989700541240283,6.674960327041716,4.070049052681331,0.9478562435910484,66.46126520319126,,0.3,/Users/noahg/Downloads/SSP_v2/src/models/xgboost_gpu_8_30_approach_a.pkl
random_forest,$8.30,False,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 1}",2.5935884922028216,1.5292910164313986,0.9940955937231692,8.311346523345627,4.757200485514795,0.9191560144070864,57.13396415120492,,0.1,/Users/noahg/Downloads/SSP_v2/src/models/random_forest_8_30_approach_a.pkl
gam,$8.30,False,"{'n_splines': 10, 'lam': 0.6}",7.795649195846678,5.147040209004941,0.9466568488277178,8.62773949364856,5.590527530156758,0.9128837878673363,144.61828482089007,,0.1,/Users/noahg/Downloads/SSP_v2/src/models/gam_8_30_approach_a.pkl
ridge,$8.30,False,{'alpha': 0.01},9.785813080286696,6.979254887922953,0.9159441538809912,10.278021521508682,6.912116725646953,0.8763699678482219,128.82137187640214,,0.0,/Users/noahg/Downloads/SSP_v2/src/models/ridge_8_30_approach_a.pkl
mlp,$8.30,False,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.001, 'learning_rate_init': 0.001}",5.9943981403575295,3.7395257281397374,0.9684597405220502,8.122215059814664,4.737570485536836,0.922793492752433,73.32141832260727,,0.6,/Users/noahg/Downloads/SSP_v2/src/models/mlp_8_30_approach_a.pkl
xgboost_cpu,$10,False,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",1.1089786718303618,0.7828139670321358,0.9990260210143933,7.283158216352599,4.446631353959246,0.9464535483512597,68.5005978154443,,0.3,/Users/noahg/Downloads/SSP_v2/src/models/xgboost_cpu_10_approach_a.pkl
xgboost_gpu,$10,True,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",1.1089786718303618,0.7828139670321358,0.9990260210143933,7.283158216352599,4.446631353959246,0.9464535483512597,68.5005978154443,,0.2,/Users/noahg/Downloads/SSP_v2/src/models/xgboost_gpu_10_approach_a.pkl
random_forest,$10,False,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 1}",2.5403788146363206,1.5000116700745814,0.9948890672819336,8.708139268341837,5.198989222352818,0.9234505737507966,60.68621594541133,,0.1,/Users/noahg/Downloads/SSP_v2/src/models/random_forest_10_approach_a.pkl
gam,$10,False,"{'n_splines': 10, 'lam': 0.6}",7.577214135725399,5.094907717209937,0.9545302757147052,9.022983960808693,5.981120909260512,0.9178151856260485,135.80945056713344,,0.1,/Users/noahg/Downloads/SSP_v2/src/models/gam_10_approach_a.pkl
