year,log_gdp_pc_ood,log_population_ood,hdi_ood,control_of_corruption_ood,employment_agriculture_ood,gini_coefficient_ood,gdp_growth_5y_ood,region_EAP_ood,region_ECA_ood,region_LAC_ood,region_MENA_ood,region_NAC_ood,region_SAS_ood,any_ood,any_ood
2025,1.0,0.0133,0.0067,0.0,0.0133,0.0089,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2030,1.0,0.0133,0.0067,0.0,0.02,0.0089,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2035,1.0,0.0111,0.0067,0.0,0.02,0.0089,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2040,1.0,0.0067,0.0022,0.0,0.02,0.0111,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2045,1.0,0.0067,0.0022,0.0,0.02,0.0111,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2050,1.0,0.0067,0.0022,0.0,0.02,0.0111,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2055,1.0,0.0067,0.0022,0.0,0.02,0.0222,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2060,1.0,0.0089,0.0022,0.0,0.0356,0.0422,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2065,1.0,0.0111,0.0,0.0,0.1911,0.0556,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2070,1.0,0.0111,0.0,0.0,0.3622,0.0778,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2075,1.0,0.0111,0.0,0.0,0.4911,0.0978,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2080,1.0,0.0067,0.0,0.0,0.5956,0.1022,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2085,1.0,0.0089,0.0,0.0,0.6956,0.1156,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2090,1.0,0.0089,0.0,0.0,0.7489,0.1289,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2095,1.0,0.0089,0.0,0.0,0.7756,0.1378,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
2100,1.0,0.0089,0.0,0.0,0.8156,0.1489,0.0,0.0,0.0,0.0,0.0,0.9867,0.96,1.0,1.0
