feature,feature_label,xgboost_cpu,xgboost_gpu,random_forest,gam,ridge,mlp,mean_across_models,rank_mean
log_population,log(Population),4.4298204e+11,4.4298204e+11,468832293590.2055,392589506764.09045,311252818182.67725,17.303776963341388,343106449609.7128,1
log_gdp_pc,log(GDP per capita),1.9704355e+11,1.9704355e+11,160359286257.11975,170173777039.45068,307091892562.4384,15.124677481077764,171952010064.35556,2
hdi,Human Development Index,9.816898e+10,9.816898e+10,95062785917.2116,312193322815.92487,82683767358.8132,16.4737604533078,114379639170.07057,3
gini_coefficient,Gini Coefficient,2.5169388e+10,2.5169388e+10,9628911407.863121,187840768795.0252,55745315907.312325,12.996360286934795,50592295193.86617,4
region_NAC,Region: North America,2.8475957e+10,2.8475957e+10,37939513418.21544,116155389516.40932,73268073915.98082,2.786134035560276,47385815224.89862,5
control_of_corruption,Control of Corruption,1.9984613e+10,1.9984613e+10,2661627953.250238,184546798313.42813,9173658710.825075,18.43293017546246,39391885291.32273,6
employment_agriculture,Employment in Agriculture (%),2.8930066e+10,2.8930066e+10,51669536127.32602,108155231505.57253,18036036247.30585,13.279845616908357,39286822792.91404,7
region_EAP,Region: East Asia & Pacific,1.4731295e+10,1.4731295e+10,19754394768.84475,795257513.4713511,85445208014.15968,12.769308728357567,22576241624.87418,8
region_LAC,Region: Latin America & Caribbean,2.571599e+09,2.571599e+09,194119387.02302638,73570799684.89499,45610020962.516556,11.058209352698539,20753023042.2488,9
gdp_growth_5y,5-yr GDP Growth (log return),8.513948e+09,8.513948e+09,2152452780.71597,33188051448.60364,28807620348.99943,0.5093685713068914,13529336816.471403,10
region_MENA,Region: Middle East & N. Africa,8.9067405e+08,8.9067405e+08,619950839.0173861,25047235060.495678,39831181639.71765,10.239234312496523,11213285940.911657,11
region_SAS,Region: South Asia,9.035801e+07,9.035801e+07,25208631.874627467,55793397072.206894,2086833182.41882,0.39412736817071403,9681025817.149078,12
region_ECA,Region: Europe & Central Asia,6.888286e+09,6.888286e+09,1188804706.9232967,14636937965.914156,6577277586.34356,16.80036911416793,6029932115.330231,13
