scenario,poverty_threshold,year,rank,country_name,country_code,predicted_poverty,extrapolation_flag
SSP1,$3,2030,1,Algeria,DZA,100.0,False
SSP1,$3,2030,2,Morocco,MAR,100.0,False
SSP1,$3,2030,3,Namibia,NAM,100.0,False
SSP1,$3,2030,4,Nepal,NPL,100.0,False
SSP1,$3,2030,5,Netherlands,NLD,100.0,False
SSP1,$3,2030,6,New Zealand,NZL,100.0,False
SSP1,$3,2030,7,Nicaragua,NIC,100.0,False
SSP1,$3,2030,8,Niger,NER,100.0,False
SSP1,$3,2030,9,Nigeria,NGA,100.0,False
SSP1,$3,2030,10,North Macedonia,MKD,100.0,False
SSP1,$3,2050,1,Algeria,DZA,100.0,False
SSP1,$3,2050,2,Morocco,MAR,100.0,False
SSP1,$3,2050,3,Namibia,NAM,100.0,False
SSP1,$3,2050,4,Nepal,NPL,100.0,False
SSP1,$3,2050,5,Netherlands,NLD,100.0,False
SSP1,$3,2050,6,New Zealand,NZL,100.0,False
SSP1,$3,2050,7,Nicaragua,NIC,100.0,False
SSP1,$3,2050,8,Niger,NER,100.0,False
SSP1,$3,2050,9,Nigeria,NGA,100.0,False
SSP1,$3,2050,10,North Macedonia,MKD,100.0,False
SSP1,$3,2075,1,Algeria,DZA,100.0,True
SSP1,$3,2075,2,Morocco,MAR,100.0,True
SSP1,$3,2075,3,Namibia,NAM,100.0,True
SSP1,$3,2075,4,Nepal,NPL,100.0,True
SSP1,$3,2075,5,Netherlands,NLD,100.0,True
SSP1,$3,2075,6,New Zealand,NZL,100.0,True
SSP1,$3,2075,7,Nicaragua,NIC,100.0,True
SSP1,$3,2075,8,Niger,NER,100.0,True
SSP1,$3,2075,9,Nigeria,NGA,100.0,True
SSP1,$3,2075,10,North Macedonia,MKD,100.0,True
SSP1,$3,2100,1,Algeria,DZA,100.0,True
SSP1,$3,2100,2,Morocco,MAR,100.0,True
SSP1,$3,2100,3,Namibia,NAM,100.0,True
SSP1,$3,2100,4,Nepal,NPL,100.0,True
SSP1,$3,2100,5,Netherlands,NLD,100.0,True
SSP1,$3,2100,6,New Zealand,NZL,100.0,True
SSP1,$3,2100,7,Nicaragua,NIC,100.0,True
SSP1,$3,2100,8,Niger,NER,100.0,True
SSP1,$3,2100,9,Nigeria,NGA,100.0,True
SSP1,$3,2100,10,North Macedonia,MKD,100.0,True
SSP1,$4.20,2030,1,Algeria,DZA,100.0,False
SSP1,$4.20,2030,2,Morocco,MAR,100.0,False
SSP1,$4.20,2030,3,Namibia,NAM,100.0,False
SSP1,$4.20,2030,4,Nepal,NPL,100.0,False
SSP1,$4.20,2030,5,Netherlands,NLD,100.0,False
SSP1,$4.20,2030,6,New Zealand,NZL,100.0,False
SSP1,$4.20,2030,7,Nicaragua,NIC,100.0,False
SSP1,$4.20,2030,8,Niger,NER,100.0,False
SSP1,$4.20,2030,9,Nigeria,NGA,100.0,False
SSP1,$4.20,2030,10,North Macedonia,MKD,100.0,False
SSP1,$4.20,2050,1,Algeria,DZA,100.0,False
SSP1,$4.20,2050,2,Morocco,MAR,100.0,False
SSP1,$4.20,2050,3,Namibia,NAM,100.0,False
SSP1,$4.20,2050,4,Nepal,NPL,100.0,False
SSP1,$4.20,2050,5,Netherlands,NLD,100.0,False
SSP1,$4.20,2050,6,New Zealand,NZL,100.0,False
SSP1,$4.20,2050,7,Nicaragua,NIC,100.0,False
SSP1,$4.20,2050,8,Niger,NER,100.0,False
SSP1,$4.20,2050,9,Nigeria,NGA,100.0,False
SSP1,$4.20,2050,10,North Macedonia,MKD,100.0,False
SSP1,$4.20,2075,1,Algeria,DZA,100.0,True
SSP1,$4.20,2075,2,Morocco,MAR,100.0,True
SSP1,$4.20,2075,3,Namibia,NAM,100.0,True
SSP1,$4.20,2075,4,Nepal,NPL,100.0,True
SSP1,$4.20,2075,5,Netherlands,NLD,100.0,True
SSP1,$4.20,2075,6,New Zealand,NZL,100.0,True
SSP1,$4.20,2075,7,Nicaragua,NIC,100.0,True
SSP1,$4.20,2075,8,Niger,NER,100.0,True
SSP1,$4.20,2075,9,Nigeria,NGA,100.0,True
